Ref_Date,GEO,FUEL,Vector,Coordinate,Value
2013,Ontario,"Total coal (x 1,000)",v52310286,7.2,95370.00000000
2014,Ontario,"Total coal (x 1,000)",v52310286,7.2,690.00000000
2015,Ontario,"Total coal (x 1,000)",v52310286,7.2,0.00000000
2005,Ontario,"Total bituminous coal (x 1,000)",v52310292,7.3,411386.00000000
2006,Ontario,"Total bituminous coal (x 1,000)",v52310292,7.3,280760.00000000
2007,Ontario,"Total bituminous coal (x 1,000)",v52310292,7.3,349756.00000000
2008,Ontario,"Total bituminous coal (x 1,000)",v52310292,7.3,283093.00000000
2009,Ontario,"Total bituminous coal (x 1,000)",v52310292,7.3,177483.00000000
2010,Ontario,"Total bituminous coal (x 1,000)",v52310292,7.3,188801.00000000
2011,Ontario,"Total bituminous coal (x 1,000)",v52310292,7.3,77948.00000000
2012,Ontario,"Total bituminous coal (x 1,000)",v52310292,7.3,84040.00000000
2013,Ontario,"Total bituminous coal (x 1,000)",v52310292,7.3,76867.00000000
2014,Ontario,"Total bituminous coal (x 1,000)",v52310292,7.3,0.00000000
2015,Ontario,"Total bituminous coal (x 1,000)",v52310292,7.3,0.00000000
2005,Ontario,"Imported bituminous coal (x 1,000)",v52310293,7.5,411386.00000000
2006,Ontario,"Imported bituminous coal (x 1,000)",v52310293,7.5,280760.00000000
2007,Ontario,"Imported bituminous coal (x 1,000)",v52310293,7.5,349756.00000000
2008,Ontario,"Imported bituminous coal (x 1,000)",v52310293,7.5,283093.00000000
2009,Ontario,"Imported bituminous coal (x 1,000)",v52310293,7.5,177483.00000000
2010,Ontario,"Imported bituminous coal (x 1,000)",v52310293,7.5,188801.00000000
2011,Ontario,"Imported bituminous coal (x 1,000)",v52310293,7.5,77948.00000000
2012,Ontario,"Imported bituminous coal (x 1,000)",v52310293,7.5,84040.00000000
2013,Ontario,"Imported bituminous coal (x 1,000)",v52310293,7.5,76867.00000000
2014,Ontario,"Imported bituminous coal (x 1,000)",v52310293,7.5,0.00000000
2015,Ontario,"Imported bituminous coal (x 1,000)",v52310293,7.5,0.00000000
2005,Ontario,"Total subbituminous coal (x 1,000)",v52310294,7.6,232963.00000000
2006,Ontario,"Total subbituminous coal (x 1,000)",v52310294,7.6,265036.00000000
2007,Ontario,"Total subbituminous coal (x 1,000)",v52310294,7.6,326428.00000000
2008,Ontario,"Total subbituminous coal (x 1,000)",v52310294,7.6,283723.00000000
2009,Ontario,"Total subbituminous coal (x 1,000)",v52310294,7.6,114937.00000000
2010,Ontario,"Total subbituminous coal (x 1,000)",v52310294,7.6,164396.00000000
2011,Ontario,"Total subbituminous coal (x 1,000)",v52310294,7.6,51542.00000000
2012,Ontario,"Total subbituminous coal (x 1,000)",v52310294,7.6,37937.00000000
2013,Ontario,"Total subbituminous coal (x 1,000)",v52310294,7.6,18503.00000000
2014,Ontario,"Total subbituminous coal (x 1,000)",v52310294,7.6,690.00000000
2015,Ontario,"Total subbituminous coal (x 1,000)",v52310294,7.6,0.00000000
2005,Ontario,"Imported subbituminous coal (x 1,000)",v52310295,7.8,232963.00000000
2006,Ontario,"Imported subbituminous coal (x 1,000)",v52310295,7.8,265036.00000000
2007,Ontario,"Imported subbituminous coal (x 1,000)",v52310295,7.8,326428.00000000
2008,Ontario,"Imported subbituminous coal (x 1,000)",v52310295,7.8,283723.00000000
2009,Ontario,"Imported subbituminous coal (x 1,000)",v52310295,7.8,114937.00000000
2010,Ontario,"Imported subbituminous coal (x 1,000)",v52310295,7.8,164396.00000000
2011,Ontario,"Imported subbituminous coal (x 1,000)",v52310295,7.8,51542.00000000
2012,Ontario,"Imported subbituminous coal (x 1,000)",v52310295,7.8,37937.00000000
2013,Ontario,"Imported subbituminous coal (x 1,000)",v52310295,7.8,18503.00000000
2014,Ontario,"Imported subbituminous coal (x 1,000)",v52310295,7.8,690.00000000
2015,Ontario,"Imported subbituminous coal (x 1,000)",v52310295,7.8,0.00000000
2005,Ontario,"Lignite (x 1,000)",v52310296,7.9,35506.00000000
2006,Ontario,"Lignite (x 1,000)",v52310296,7.9,33872.00000000
2007,Ontario,"Lignite (x 1,000)",v52310296,7.9,23979.00000000
2008,Ontario,"Lignite (x 1,000)",v52310296,7.9,17236.00000000
2009,Ontario,"Lignite (x 1,000)",v52310296,7.9,5034.00000000
2010,Ontario,"Lignite (x 1,000)",v52310296,7.9,14878.00000000
2011,Ontario,"Lignite (x 1,000)",v52310296,7.9,2045.00000000
2012,Ontario,"Lignite (x 1,000)",v52310296,7.9,1608.00000000
2013,Ontario,"Lignite (x 1,000)",v52310296,7.9,..
2014,Ontario,"Lignite (x 1,000)",v52310296,7.9,0.00000000
2015,Ontario,"Lignite (x 1,000)",v52310296,7.9,0.00000000
2005,Ontario,"Wood (x 1,000)",v52310279,7.10,10679.00000000
2006,Ontario,"Wood (x 1,000)",v52310279,7.10,7288.00000000
2007,Ontario,"Wood (x 1,000)",v52310279,7.10,6501.00000000
2008,Ontario,"Wood (x 1,000)",v52310279,7.10,9197.00000000
2009,Ontario,"Wood (x 1,000)",v52310279,7.10,11407.00000000
2010,Ontario,"Wood (x 1,000)",v52310279,7.10,13637.00000000
2011,Ontario,"Wood (x 1,000)",v52310279,7.10,12130.00000000
2012,Ontario,"Wood (x 1,000)",v52310279,7.10,10515.00000000
2013,Ontario,"Wood (x 1,000)",v52310279,7.10,10511.00000000
2014,Ontario,"Wood (x 1,000)",v52310279,7.10,15245.00000000
2015,Ontario,"Wood (x 1,000)",v52310279,7.10,27182.00000000
2005,Ontario,"Other solid fuels (x 1,000)",v52310280,7.12,2062.00000000
2006,Ontario,"Other solid fuels (x 1,000)",v52310280,7.12,2100.00000000
2007,Ontario,"Other solid fuels (x 1,000)",v52310280,7.12,1847.00000000
2008,Ontario,"Other solid fuels (x 1,000)",v52310280,7.12,2586.00000000
2009,Ontario,"Other solid fuels (x 1,000)",v52310280,7.12,3505.00000000
2010,Ontario,"Other solid fuels (x 1,000)",v52310280,7.12,6398.00000000
2011,Ontario,"Other solid fuels (x 1,000)",v52310280,7.12,7255.00000000
2012,Ontario,"Other solid fuels (x 1,000)",v52310280,7.12,7250.00000000
2013,Ontario,"Other solid fuels (x 1,000)",v52310280,7.12,6648.00000000
2014,Ontario,"Other solid fuels (x 1,000)",v52310280,7.12,4703.00000000
2015,Ontario,"Other solid fuels (x 1,000)",v52310280,7.12,5458.00000000
2005,Ontario,"Total liquids (x 1,000)",v52310281,7.13,67487.00000000
2006,Ontario,"Total liquids (x 1,000)",v52310281,7.13,27039.00000000
2007,Ontario,"Total liquids (x 1,000)",v52310281,7.13,39868.00000000
2008,Ontario,"Total liquids (x 1,000)",v52310281,7.13,27552.00000000
2009,Ontario,"Total liquids (x 1,000)",v52310281,7.13,36599.00000000
2010,Ontario,"Total liquids (x 1,000)",v52310281,7.13,21301.00000000
2011,Ontario,"Total liquids (x 1,000)",v52310281,7.13,15083.00000000
2012,Ontario,"Total liquids (x 1,000)",v52310281,7.13,16457.00000000
2013,Ontario,"Total liquids (x 1,000)",v52310281,7.13,12399.00000000
2014,Ontario,"Total liquids (x 1,000)",v52310281,7.13,38200.00000000
2015,Ontario,"Total liquids (x 1,000)",v52310281,7.13,28880.00000000
2005,Ontario,"Total petroleum products (x 1,000)",v52310282,7.14,67487.00000000
2006,Ontario,"Total petroleum products (x 1,000)",v52310282,7.14,27039.00000000
2007,Ontario,"Total petroleum products (x 1,000)",v52310282,7.14,39868.00000000
2008,Ontario,"Total petroleum products (x 1,000)",v52310282,7.14,27552.00000000
2009,Ontario,"Total petroleum products (x 1,000)",v52310282,7.14,36599.00000000
2010,Ontario,"Total petroleum products (x 1,000)",v52310282,7.14,21301.00000000
2011,Ontario,"Total petroleum products (x 1,000)",v52310282,7.14,15083.00000000
2012,Ontario,"Total petroleum products (x 1,000)",v52310282,7.14,16457.00000000
2013,Ontario,"Total petroleum products (x 1,000)",v52310282,7.14,12399.00000000
2014,Ontario,"Total petroleum products (x 1,000)",v52310282,7.14,38200.00000000
2015,Ontario,"Total petroleum products (x 1,000)",v52310282,7.14,28880.00000000
2005,Ontario,"Light fuel oil (x 1,000)",v52310283,7.15,8466.00000000
2006,Ontario,"Light fuel oil (x 1,000)",v52310283,7.15,9049.00000000
2007,Ontario,"Light fuel oil (x 1,000)",v52310283,7.15,13230.00000000
2008,Ontario,"Light fuel oil (x 1,000)",v52310283,7.15,14575.00000000
2009,Ontario,"Light fuel oil (x 1,000)",v52310283,7.15,10256.00000000
2010,Ontario,"Light fuel oil (x 1,000)",v52310283,7.15,8288.00000000
2011,Ontario,"Light fuel oil (x 1,000)",v52310283,7.15,6925.00000000
2012,Ontario,"Light fuel oil (x 1,000)",v52310283,7.15,8506.00000000
2013,Ontario,"Light fuel oil (x 1,000)",v52310283,7.15,5109.00000000
2014,Ontario,"Light fuel oil (x 1,000)",v52310283,7.15,47.00000000
2015,Ontario,"Light fuel oil (x 1,000)",v52310283,7.15,816.00000000
2005,Ontario,"Total heavy fuel oil (x 1,000)",v52310284,7.16,59021.00000000
2006,Ontario,"Total heavy fuel oil (x 1,000)",v52310284,7.16,17990.00000000
2007,Ontario,"Total heavy fuel oil (x 1,000)",v52310284,7.16,26639.00000000
2008,Ontario,"Total heavy fuel oil (x 1,000)",v52310284,7.16,12977.00000000
2009,Ontario,"Total heavy fuel oil (x 1,000)",v52310284,7.16,26342.00000000
2010,Ontario,"Total heavy fuel oil (x 1,000)",v52310284,7.16,13013.00000000
2011,Ontario,"Total heavy fuel oil (x 1,000)",v52310284,7.16,8157.00000000
2012,Ontario,"Total heavy fuel oil (x 1,000)",v52310284,7.16,7951.00000000
2013,Ontario,"Total heavy fuel oil (x 1,000)",v52310284,7.16,7290.00000000
2014,Ontario,"Total heavy fuel oil (x 1,000)",v52310284,7.16,12278.00000000
2015,Ontario,"Total heavy fuel oil (x 1,000)",v52310284,7.16,4814.00000000
2005,Ontario,"Canadian heavy fuel oil (x 1,000)",v52310285,7.17,59021.00000000
2006,Ontario,"Canadian heavy fuel oil (x 1,000)",v52310285,7.17,17990.00000000
2007,Ontario,"Canadian heavy fuel oil (x 1,000)",v52310285,7.17,0.00000000
2008,Ontario,"Canadian heavy fuel oil (x 1,000)",v52310285,7.17,..
2009,Ontario,"Canadian heavy fuel oil (x 1,000)",v52310285,7.17,8356.00000000
2010,Ontario,"Canadian heavy fuel oil (x 1,000)",v52310285,7.17,8622.00000000
2011,Ontario,"Canadian heavy fuel oil (x 1,000)",v52310285,7.17,6641.00000000
2012,Ontario,"Canadian heavy fuel oil (x 1,000)",v52310285,7.17,5412.00000000
2013,Ontario,"Canadian heavy fuel oil (x 1,000)",v52310285,7.17,5412.00000000
2014,Ontario,"Canadian heavy fuel oil (x 1,000)",v52310285,7.17,0.00000000
2015,Ontario,"Canadian heavy fuel oil (x 1,000)",v52310285,7.17,4814.00000000
2006,Ontario,"Imported heavy fuel oil (x 1,000)",v53834232,7.18,0.00000000
2007,Ontario,"Imported heavy fuel oil (x 1,000)",v53834232,7.18,26639.00000000
2008,Ontario,"Imported heavy fuel oil (x 1,000)",v53834232,7.18,12977.00000000
2009,Ontario,"Imported heavy fuel oil (x 1,000)",v53834232,7.18,17986.00000000
2010,Ontario,"Imported heavy fuel oil (x 1,000)",v53834232,7.18,4391.00000000
2011,Ontario,"Imported heavy fuel oil (x 1,000)",v53834232,7.18,1516.00000000
2012,Ontario,"Imported heavy fuel oil (x 1,000)",v53834232,7.18,2539.00000000
2013,Ontario,"Imported heavy fuel oil (x 1,000)",v53834232,7.18,1878.00000000
2014,Ontario,"Imported heavy fuel oil (x 1,000)",v53834232,7.18,12278.00000000
2015,Ontario,"Imported heavy fuel oil (x 1,000)",v53834232,7.18,0.00000000
2011,Ontario,"Diesel (x 1,000)",v101254604,7.19,..
2012,Ontario,"Diesel (x 1,000)",v101254604,7.19,..
2013,Ontario,"Diesel (x 1,000)",v101254604,7.19,..
2014,Ontario,"Diesel (x 1,000)",v101254604,7.19,25875.00000000
2015,Ontario,"Diesel (x 1,000)",v101254604,7.19,23250.00000000
2005,Ontario,"Total gas (x 1,000)",v52310287,7.23,546882.00000000
2006,Ontario,"Total gas (x 1,000)",v52310287,7.23,612691.00000000
2007,Ontario,"Total gas (x 1,000)",v52310287,7.23,637537.00000000
2008,Ontario,"Total gas (x 1,000)",v52310287,7.23,619021.00000000
2009,Ontario,"Total gas (x 1,000)",v52310287,7.23,539786.00000000
2010,Ontario,"Total gas (x 1,000)",v52310287,7.23,862482.00000000
2011,Ontario,"Total gas (x 1,000)",v52310287,7.23,971851.00000000
2012,Ontario,"Total gas (x 1,000)",v52310287,7.23,800081.00000000
2013,Ontario,"Total gas (x 1,000)",v52310287,7.23,796980.00000000
2014,Ontario,"Total gas (x 1,000)",v52310287,7.23,867244.00000000
2015,Ontario,"Total gas (x 1,000)",v52310287,7.23,789068.00000000
2005,Ontario,"Natural gas (x 1,000)",v52310288,7.24,546882.00000000
2006,Ontario,"Natural gas (x 1,000)",v52310288,7.24,612691.00000000
2007,Ontario,"Natural gas (x 1,000)",v52310288,7.24,637417.00000000
2008,Ontario,"Natural gas (x 1,000)",v52310288,7.24,618142.00000000
2009,Ontario,"Natural gas (x 1,000)",v52310288,7.24,538493.00000000
2010,Ontario,"Natural gas (x 1,000)",v52310288,7.24,858382.00000000
2011,Ontario,"Natural gas (x 1,000)",v52310288,7.24,969386.00000000
2012,Ontario,"Natural gas (x 1,000)",v52310288,7.24,797121.00000000
2013,Ontario,"Natural gas (x 1,000)",v52310288,7.24,792734.00000000
2014,Ontario,"Natural gas (x 1,000)",v52310288,7.24,863469.00000000
2015,Ontario,"Natural gas (x 1,000)",v52310288,7.24,785168.00000000
2005,Ontario,"Methane (x 1,000)",v52310289,7.26,0.00000000
2006,Ontario,"Methane (x 1,000)",v52310289,7.26,0.00000000
2007,Ontario,"Methane (x 1,000)",v52310289,7.26,0.00000000
2008,Ontario,"Methane (x 1,000)",v52310289,7.26,879.00000000
2009,Ontario,"Methane (x 1,000)",v52310289,7.26,1238.00000000
2010,Ontario,"Methane (x 1,000)",v52310289,7.26,1384.00000000
2011,Ontario,"Methane (x 1,000)",v52310289,7.26,1332.00000000
2012,Ontario,"Methane (x 1,000)",v52310289,7.26,1113.00000000
2013,Ontario,"Methane (x 1,000)",v52310289,7.26,1294.00000000
2014,Ontario,"Methane (x 1,000)",v52310289,7.26,886.00000000
2015,Ontario,"Methane (x 1,000)",v52310289,7.26,1053.00000000
2005,Ontario,"Other gaseous fuels (x 1,000)",v52310290,7.27,0.00000000
2006,Ontario,"Other gaseous fuels (x 1,000)",v52310290,7.27,0.00000000
2007,Ontario,"Other gaseous fuels (x 1,000)",v52310290,7.27,119.00000000
2008,Ontario,"Other gaseous fuels (x 1,000)",v52310290,7.27,..
2009,Ontario,"Other gaseous fuels (x 1,000)",v52310290,7.27,55.00000000
2010,Ontario,"Other gaseous fuels (x 1,000)",v52310290,7.27,2716.00000000
2011,Ontario,"Other gaseous fuels (x 1,000)",v52310290,7.27,1132.00000000
2012,Ontario,"Other gaseous fuels (x 1,000)",v52310290,7.27,1848.00000000
2013,Ontario,"Other gaseous fuels (x 1,000)",v52310290,7.27,2952.00000000
2014,Ontario,"Other gaseous fuels (x 1,000)",v52310290,7.27,2890.00000000
2015,Ontario,"Other gaseous fuels (x 1,000)",v52310290,7.27,2847.00000000
2005,Ontario,"Uranium (x 1,000)",v52310291,7.28,155597.00000000
2006,Ontario,"Uranium (x 1,000)",v52310291,7.28,167781.00000000
2007,Ontario,"Uranium (x 1,000)",v52310291,7.28,172981.00000000
2008,Ontario,"Uranium (x 1,000)",v52310291,7.28,143032.00000000
2009,Ontario,"Uranium (x 1,000)",v52310291,7.28,173731.00000000
2010,Ontario,"Uranium (x 1,000)",v52310291,7.28,192299.00000000
2011,Ontario,"Uranium (x 1,000)",v52310291,7.28,387785.00000000
2012,Ontario,"Uranium (x 1,000)",v52310291,7.28,395214.00000000
2013,Ontario,"Uranium (x 1,000)",v52310291,7.28,433991.00000000
2014,Ontario,"Uranium (x 1,000)",v52310291,7.28,428151.00000000
2015,Ontario,"Uranium (x 1,000)",v52310291,7.28,409491.00000000
2005,Manitoba,"Total solids (x 1,000)",v52310297,8.1,9939.00000000
2006,Manitoba,"Total solids (x 1,000)",v52310297,8.1,7746.00000000
2007,Manitoba,"Total solids (x 1,000)",v52310297,8.1,9318.00000000
2008,Manitoba,"Total solids (x 1,000)",v52310297,8.1,10521.00000000
2009,Manitoba,"Total solids (x 1,000)",v52310297,8.1,4799.00000000
2010,Manitoba,"Total solids (x 1,000)",v52310297,8.1,1556.00000000
2011,Manitoba,"Total solids (x 1,000)",v52310297,8.1,1648.00000000
2012,Manitoba,"Total solids (x 1,000)",v52310297,8.1,1725.00000000
2013,Manitoba,"Total solids (x 1,000)",v52310297,8.1,2031.00000000
2014,Manitoba,"Total solids (x 1,000)",v52310297,8.1,2140.00000000
2015,Manitoba,"Total solids (x 1,000)",v52310297,8.1,1968.00000000
2005,Manitoba,"Total coal (x 1,000)",v52310302,8.2,9939.00000000
2006,Manitoba,"Total coal (x 1,000)",v52310302,8.2,7746.00000000
2007,Manitoba,"Total coal (x 1,000)",v52310302,8.2,9318.00000000
2008,Manitoba,"Total coal (x 1,000)",v52310302,8.2,10521.00000000
2009,Manitoba,"Total coal (x 1,000)",v52310302,8.2,4799.00000000
2010,Manitoba,"Total coal (x 1,000)",v52310302,8.2,1556.00000000
2011,Manitoba,"Total coal (x 1,000)",v52310302,8.2,1648.00000000
2012,Manitoba,"Total coal (x 1,000)",v52310302,8.2,1725.00000000
2013,Manitoba,"Total coal (x 1,000)",v52310302,8.2,2031.00000000
2014,Manitoba,"Total coal (x 1,000)",v52310302,8.2,2140.00000000
2015,Manitoba,"Total coal (x 1,000)",v52310302,8.2,1968.00000000
2005,Manitoba,"Total subbituminous coal (x 1,000)",v52310305,8.6,9939.00000000
2006,Manitoba,"Total subbituminous coal (x 1,000)",v52310305,8.6,7746.00000000
2007,Manitoba,"Total subbituminous coal (x 1,000)",v52310305,8.6,9318.00000000
2008,Manitoba,"Total subbituminous coal (x 1,000)",v52310305,8.6,10521.00000000
2009,Manitoba,"Total subbituminous coal (x 1,000)",v52310305,8.6,4799.00000000
2010,Manitoba,"Total subbituminous coal (x 1,000)",v52310305,8.6,1556.00000000
2011,Manitoba,"Total subbituminous coal (x 1,000)",v52310305,8.6,1648.00000000
2012,Manitoba,"Total subbituminous coal (x 1,000)",v52310305,8.6,1725.00000000
2013,Manitoba,"Total subbituminous coal (x 1,000)",v52310305,8.6,2031.00000000
2014,Manitoba,"Total subbituminous coal (x 1,000)",v52310305,8.6,2140.00000000
2015,Manitoba,"Total subbituminous coal (x 1,000)",v52310305,8.6,1968.00000000
2005,Manitoba,"Imported subbituminous coal (x 1,000)",v52310306,8.8,9939.00000000
2006,Manitoba,"Imported subbituminous coal (x 1,000)",v52310306,8.8,7746.00000000
2007,Manitoba,"Imported subbituminous coal (x 1,000)",v52310306,8.8,9318.00000000
2008,Manitoba,"Imported subbituminous coal (x 1,000)",v52310306,8.8,10521.00000000
2009,Manitoba,"Imported subbituminous coal (x 1,000)",v52310306,8.8,4799.00000000
2010,Manitoba,"Imported subbituminous coal (x 1,000)",v52310306,8.8,1556.00000000
2011,Manitoba,"Imported subbituminous coal (x 1,000)",v52310306,8.8,1648.00000000
2012,Manitoba,"Imported subbituminous coal (x 1,000)",v52310306,8.8,1725.00000000
2013,Manitoba,"Imported subbituminous coal (x 1,000)",v52310306,8.8,2031.00000000
2014,Manitoba,"Imported subbituminous coal (x 1,000)",v52310306,8.8,2140.00000000
2015,Manitoba,"Imported subbituminous coal (x 1,000)",v52310306,8.8,1968.00000000
2005,Manitoba,"Total liquids (x 1,000)",v52310298,8.13,3825.00000000
2006,Manitoba,"Total liquids (x 1,000)",v52310298,8.13,4272.00000000
2007,Manitoba,"Total liquids (x 1,000)",v52310298,8.13,4581.00000000
2008,Manitoba,"Total liquids (x 1,000)",v52310298,8.13,5069.00000000
2009,Manitoba,"Total liquids (x 1,000)",v52310298,8.13,4104.00000000
2010,Manitoba,"Total liquids (x 1,000)",v52310298,8.13,4469.00000000
2011,Manitoba,"Total liquids (x 1,000)",v52310298,8.13,4638.00000000
2012,Manitoba,"Total liquids (x 1,000)",v52310298,8.13,4529.00000000
2013,Manitoba,"Total liquids (x 1,000)",v52310298,8.13,461.00000000
2014,Manitoba,"Total liquids (x 1,000)",v52310298,8.13,511.00000000
2015,Manitoba,"Total liquids (x 1,000)",v52310298,8.13,4296.00000000
2005,Manitoba,"Total petroleum products (x 1,000)",v52310299,8.14,3825.00000000
2006,Manitoba,"Total petroleum products (x 1,000)",v52310299,8.14,4272.00000000
2007,Manitoba,"Total petroleum products (x 1,000)",v52310299,8.14,4581.00000000
2008,Manitoba,"Total petroleum products (x 1,000)",v52310299,8.14,5069.00000000
2009,Manitoba,"Total petroleum products (x 1,000)",v52310299,8.14,4104.00000000
2010,Manitoba,"Total petroleum products (x 1,000)",v52310299,8.14,4469.00000000
2011,Manitoba,"Total petroleum products (x 1,000)",v52310299,8.14,4638.00000000
2012,Manitoba,"Total petroleum products (x 1,000)",v52310299,8.14,4529.00000000
2013,Manitoba,"Total petroleum products (x 1,000)",v52310299,8.14,461.00000000
2014,Manitoba,"Total petroleum products (x 1,000)",v52310299,8.14,511.00000000
2015,Manitoba,"Total petroleum products (x 1,000)",v52310299,8.14,4296.00000000
2005,Manitoba,"Light fuel oil (x 1,000)",v52310300,8.15,681.00000000
2006,Manitoba,"Light fuel oil (x 1,000)",v52310300,8.15,1219.00000000
2007,Manitoba,"Light fuel oil (x 1,000)",v52310300,8.15,1466.00000000
2008,Manitoba,"Light fuel oil (x 1,000)",v52310300,8.15,718.00000000
2009,Manitoba,"Light fuel oil (x 1,000)",v52310300,8.15,419.00000000
2010,Manitoba,"Light fuel oil (x 1,000)",v52310300,8.15,640.00000000
2011,Manitoba,"Light fuel oil (x 1,000)",v52310300,8.15,512.00000000
2012,Manitoba,"Light fuel oil (x 1,000)",v52310300,8.15,462.00000000
2013,Manitoba,"Light fuel oil (x 1,000)",v52310300,8.15,461.00000000
2014,Manitoba,"Light fuel oil (x 1,000)",v52310300,8.15,511.00000000
2015,Manitoba,"Light fuel oil (x 1,000)",v52310300,8.15,4296.00000000
2005,Manitoba,"Diesel (x 1,000)",v52310301,8.19,3144.00000000
2006,Manitoba,"Diesel (x 1,000)",v52310301,8.19,3054.00000000
2007,Manitoba,"Diesel (x 1,000)",v52310301,8.19,3115.00000000
2008,Manitoba,"Diesel (x 1,000)",v52310301,8.19,4351.00000000
2009,Manitoba,"Diesel (x 1,000)",v52310301,8.19,3685.00000000
2010,Manitoba,"Diesel (x 1,000)",v52310301,8.19,3829.00000000
2011,Manitoba,"Diesel (x 1,000)",v52310301,8.19,4126.00000000
2012,Manitoba,"Diesel (x 1,000)",v52310301,8.19,4067.00000000
2013,Manitoba,"Diesel (x 1,000)",v52310301,8.19,..
2014,Manitoba,"Diesel (x 1,000)",v52310301,8.19,0.00000000
2015,Manitoba,"Diesel (x 1,000)",v52310301,8.19,0.00000000
2005,Manitoba,"Total gas (x 1,000)",v52310303,8.23,1878.00000000
2006,Manitoba,"Total gas (x 1,000)",v52310303,8.23,8071.00000000
2007,Manitoba,"Total gas (x 1,000)",v52310303,8.23,7622.00000000
2008,Manitoba,"Total gas (x 1,000)",v52310303,8.23,1865.00000000
2009,Manitoba,"Total gas (x 1,000)",v52310303,8.23,1692.00000000
2010,Manitoba,"Total gas (x 1,000)",v52310303,8.23,1589.00000000
2011,Manitoba,"Total gas (x 1,000)",v52310303,8.23,4345.00000000
2012,Manitoba,"Total gas (x 1,000)",v52310303,8.23,1482.00000000
2013,Manitoba,"Total gas (x 1,000)",v52310303,8.23,2076.00000000
2014,Manitoba,"Total gas (x 1,000)",v52310303,8.23,2732.00000000
2015,Manitoba,"Total gas (x 1,000)",v52310303,8.23,2798.00000000
2005,Manitoba,"Natural gas (x 1,000)",v52310304,8.24,1878.00000000
2006,Manitoba,"Natural gas (x 1,000)",v52310304,8.24,8071.00000000
2007,Manitoba,"Natural gas (x 1,000)",v52310304,8.24,7622.00000000
2008,Manitoba,"Natural gas (x 1,000)",v52310304,8.24,1865.00000000
2009,Manitoba,"Natural gas (x 1,000)",v52310304,8.24,1692.00000000
2010,Manitoba,"Natural gas (x 1,000)",v52310304,8.24,1589.00000000
2011,Manitoba,"Natural gas (x 1,000)",v52310304,8.24,4345.00000000
2012,Manitoba,"Natural gas (x 1,000)",v52310304,8.24,1482.00000000
2013,Manitoba,"Natural gas (x 1,000)",v52310304,8.24,2076.00000000
2014,Manitoba,"Natural gas (x 1,000)",v52310304,8.24,2732.00000000
2015,Manitoba,"Natural gas (x 1,000)",v52310304,8.24,2798.00000000
2005,Saskatchewan,"Total solids (x 1,000)",v52310307,9.1,214834.00000000
2006,Saskatchewan,"Total solids (x 1,000)",v52310307,9.1,207307.00000000
2007,Saskatchewan,"Total solids (x 1,000)",v52310307,9.1,216526.00000000
2008,Saskatchewan,"Total solids (x 1,000)",v52310307,9.1,211957.00000000
2009,Saskatchewan,"Total solids (x 1,000)",v52310307,9.1,229089.00000000
2010,Saskatchewan,"Total solids (x 1,000)",v52310307,9.1,182312.00000000
2011,Saskatchewan,"Total solids (x 1,000)",v52310307,9.1,189958.00000000
2012,Saskatchewan,"Total solids (x 1,000)",v52310307,9.1,190800.00000000
2013,Saskatchewan,"Total solids (x 1,000)",v52310307,9.1,190090.00000000
2014,Saskatchewan,"Total solids (x 1,000)",v52310307,9.1,179721.00000000
2015,Saskatchewan,"Total solids (x 1,000)",v52310307,9.1,261576.00000000
2005,Saskatchewan,"Total coal (x 1,000)",v52310314,9.2,214834.00000000
2006,Saskatchewan,"Total coal (x 1,000)",v52310314,9.2,207307.00000000
2007,Saskatchewan,"Total coal (x 1,000)",v52310314,9.2,216526.00000000
2008,Saskatchewan,"Total coal (x 1,000)",v52310314,9.2,211957.00000000
2009,Saskatchewan,"Total coal (x 1,000)",v52310314,9.2,229089.00000000
2010,Saskatchewan,"Total coal (x 1,000)",v52310314,9.2,182312.00000000
2011,Saskatchewan,"Total coal (x 1,000)",v52310314,9.2,189958.00000000
2012,Saskatchewan,"Total coal (x 1,000)",v52310314,9.2,190800.00000000
2013,Saskatchewan,"Total coal (x 1,000)",v52310314,9.2,190090.00000000
2014,Saskatchewan,"Total coal (x 1,000)",v52310314,9.2,179721.00000000
2015,Saskatchewan,"Total coal (x 1,000)",v52310314,9.2,261576.00000000
2005,Saskatchewan,"Lignite (x 1,000)",v52310317,9.9,214834.00000000
2006,Saskatchewan,"Lignite (x 1,000)",v52310317,9.9,207307.00000000
2007,Saskatchewan,"Lignite (x 1,000)",v52310317,9.9,216526.00000000
2008,Saskatchewan,"Lignite (x 1,000)",v52310317,9.9,211957.00000000
2009,Saskatchewan,"Lignite (x 1,000)",v52310317,9.9,229089.00000000
2010,Saskatchewan,"Lignite (x 1,000)",v52310317,9.9,182312.00000000
2011,Saskatchewan,"Lignite (x 1,000)",v52310317,9.9,189958.00000000
2012,Saskatchewan,"Lignite (x 1,000)",v52310317,9.9,190800.00000000
2013,Saskatchewan,"Lignite (x 1,000)",v52310317,9.9,190090.00000000
2014,Saskatchewan,"Lignite (x 1,000)",v52310317,9.9,179721.00000000
2015,Saskatchewan,"Lignite (x 1,000)",v52310317,9.9,261576.00000000
2005,Saskatchewan,"Total liquids (x 1,000)",v52310308,9.13,958.00000000
2006,Saskatchewan,"Total liquids (x 1,000)",v52310308,9.13,1361.00000000
2007,Saskatchewan,"Total liquids (x 1,000)",v52310308,9.13,1677.00000000
